level,code,title_nl
4,08.93,Zoutwinning
5,08.930,Zoutwinning
4,08.99,"Overige winning van delfstoffen, n.e.g."
5,08.990,"Overige winning van delfstoffen, n.e.g."
2,09,Ondersteunende activiteiten in verband met de mijnbouw
3,09.1,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
4,09.10,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
5,09.100,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
3,09.9,Ondersteunende activiteiten in verband met de overige winning van delfstoffen
4,09.90,Ondersteunende activiteiten in verband met de overige winning van delfstoffen
5,09.900,Ondersteunende activiteiten in verband met de overige winning van delfstoffen
1,C,INDUSTRIE
2,10,Vervaardiging van voedingsmiddelen
3,10.1,Verwerking en conservering van vlees en vervaardiging van vleesproducten
4,10.11,"Verwerking en conservering van vlees, met uitzondering van vlees van gevogelte"
5,10.111,Activiteiten van slachthuizen
5,10.112,Activiteiten van uitsnijderijen
5,10.113,Verwerking van afgeleide producten van vlees
5,10.119,"Overige verwerking en conservering van vlees, met uitzondering van vlees van gevogelte"
4,10.12,Verwerking en conservering van vlees van gevogelte
5,10.120,Verwerking en conservering van vlees van gevogelte
4,10.13,Vervaardiging van producten van vlees of van vlees van gevogelte
5,10.130,Vervaardiging van producten van vlees of van vlees van gevogelte
3,10.2,Verwerking en conservering van vis en van schaal- en weekdieren
4,10.20,Verwerking en conservering van vis en van schaal- en weekdieren
5,10.200,Verwerking en conservering van vis en van schaal- en weekdieren
3,10.3,Verwerking en conservering van groenten en fruit
4,10.31,Verwerking en conservering van aardappelen
5,10.311,"Verwerking en conservering van aardappelen, exclusief productie van diepgevroren aardappelbereidingen"
5,10.312,Productie van diepgevroren aardappelbereidingen
4,10.32,Vervaardiging van groente- en fruitsappen
5,10.320,Vervaardiging van groente- en fruitsappen
4,10.39,Overige verwerking en conservering van groenten en fruit
5,10.391,"Verwerking en conservering van groenten, exclusief productie van diepgevroren groenten"
5,10.392,"Verwerking en conservering van fruit, exclusief productie van diepgevroren fruit"
5,10.393,Productie van diepgevroren groenten en fruit
3,10.4,Vervaardiging van plantaardige en dierlijke oliën en vetten
4,10.41,Vervaardiging van oliën en vetten
5,10.410,Vervaardiging van oliën en vetten
4,10.42,Vervaardiging van margarine en andere spijsvetten
5,10.420,Vervaardiging van margarine en andere spijsvetten
3,10.5,Vervaardiging van zuivelproducten en consumptie-ijs
4,10.51,Vervaardiging van zuivelproducten
5,10.510,Vervaardiging van zuivelproducten
4,10.52,Vervaardiging van roomijs en ander consumptie-ijs
5,10.520,Vervaardiging van roomijs en ander consumptie-ijs
3,10.6,"Vervaardiging van maalderijproducten, zetmeel en zetmeelproducten"
4,10.61,Vervaardiging van maalderijproducten
5,10.610,Vervaardiging van maalderijproducten
4,10.62,Vervaardiging van zetmeel en zetmeelproducten
5,10.620,Vervaardiging van zetmeel en zetmeelproducten
3,10.7,Vervaardiging van bakkerijproducten en deegwaren
4,10.71,Vervaardiging van brood; vervaardiging van vers banketbakkerswerk
5,10.711,Industriële vervaardiging van brood en van vers banketbakkerswerk
5,10.712,Ambachtelijke vervaardiging van brood en van vers banketbakkerswerk
4,10.72,"Vervaardiging van beschuit, biscuit en houdbaar banketbakkerswerk"
5,10.720,"Vervaardiging van beschuit, biscuit en houdbaar banketbakkerswerk"
4,10.73,Vervaardiging van deegwaren
5,10.730,Vervaardiging van deegwaren
3,10.8,Vervaardiging van andere voedingsmiddelen
4,10.81,Vervaardiging van suiker
5,10.810,Vervaardiging van suiker
4,10.82,"Vervaardiging van cacao, chocolade en suikerwerk"
5,10.820,"Vervaardiging van cacao, chocolade en suikerwerk"
4,10.83,Verwerking van thee en koffie
5,10.830,Verwerking van thee en koffie
4,10.84,"Vervaardiging van specerijen, sauzen en kruiderijen"
5,10.840,"Vervaardiging van specerijen, sauzen en kruiderijen"
4,10.85,Vervaardiging van bereide maaltijden en schotels
5,10.850,Vervaardiging van bereide maaltijden en schotels
4,10.86,Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding
5,10.860,Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding
4,10.89,"Vervaardiging van andere voedingsmiddelen, n.e.g."
5,10.890,"Vervaardiging van andere voedingsmiddelen, n.e.g."
3,10.9,Vervaardiging van diervoeders
4,10.91,Vervaardiging van veevoeders
5,10.910,Vervaardiging van veevoeders
4,10.92,Vervaardiging van voeders voor huisdieren
5,10.920,Vervaardiging van voeders voor huisdieren
2,11,Vervaardiging van dranken
3,11.0,Vervaardiging van dranken
4,11.01,"Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen"
5,11.010,"Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen"
4,11.02,Vervaardiging van wijn uit druiven
5,11.020,Vervaardiging van wijn uit druiven
4,11.03,Vervaardiging van cider en andere gefermenteerde vruchtendranken
5,11.030,Vervaardiging van cider en andere gefermenteerde vruchtendranken
4,11.04,Vervaardiging van andere niet-gedistilleerde gegiste dranken
5,11.040,Vervaardiging van andere niet-gedistilleerde gegiste dranken
4,11.05,Vervaardiging van bier
5,11.050,Vervaardiging van bier
4,11.06,Vervaardiging van mout
5,11.060,Vervaardiging van mout
4,11.07,Vervaardiging van frisdranken en water in flessen
5,11.070,Vervaardiging van frisdranken en water in flessen
2,12,Vervaardiging van tabaksproducten
3,12.0,Vervaardiging van tabaksproducten
4,12.00,Vervaardiging van tabaksproducten
5,12.000,Vervaardiging van tabaksproducten
2,13,Vervaardiging van textiel
3,13.1,Bewerken en spinnen van textielvezels
4,13.10,Bewerken en spinnen van textielvezels
5,13.100,Bewerken en spinnen van textielvezels
3,13.2,Weven van textiel
4,13.20,Weven van textiel
5,13.200,Weven van textiel
3,13.3,Textielveredeling
4,13.30,Textielveredeling
5,13.300,Textielveredeling
3,13.9,Vervaardiging van andere textielproducten
4,13.91,Vervaardiging van gebreide en gehaakte stoffen
5,13.910,Vervaardiging van gebreide en gehaakte stoffen
4,13.92,Vervaardiging van huishoudtextiel en geconfectioneerde artikelen voor stoffering
5,13.921,"Vervaardiging van beddengoed, tafellinnen en textielwaren voor huishoudelijk gebruik"
5,13.929,"Vervaardiging van overige geconfectioneerde artikelen van textiel, m.u.v. kleding"
4,13.93,Vervaardiging van vloerkleden en tapijt
5,13.930,Vervaardiging van vloerkleden en tapijt
4,13.94,"Vervaardiging van koord, bindgaren, touw en netten"
5,13.940,"Vervaardiging van koord, bindgaren, touw en netten"
4,13.95,Vervaardiging van ongeweven stoffen en artikelen van ongeweven stoffen
5,13.950,Vervaardiging van ongeweven stoffen en artikelen van ongeweven stoffen
4,13.96,Vervaardiging van ander technisch en industrieel textiel
5,13.960,Vervaardiging van ander technisch en industrieel textiel
4,13.99,"Vervaardiging van andere textielproducten, n.e.g."
5,13.990,"Vervaardiging van andere textielproducten, n.e.g."
2,14,Vervaardiging van kleding
3,14.1,Vervaardiging van gebreide en gehaakte kleding
4,14.10,Vervaardiging van gebreide en gehaakte kleding
5,14.100,Vervaardiging van gebreide en gehaakte kleding
3,14.2,Vervaardiging van andere kleding en toebehoren
4,14.21,Vervaardiging van bovenkleding
5,14.210,Vervaardiging van bovenkleding
4,14.22,Vervaardiging van onderkleding
5,14.220,Vervaardiging van onderkleding
4,14.23,Vervaardiging van werkkleding
5,14.230,Vervaardiging van werkkleding
4,14.24,Vervaardiging van kleding van leer en van bont
5,14.240,Vervaardiging van kleding van leer en van bont
4,14.29,"Vervaardiging van andere kleding en toebehoren, n.e.g."
5,14.291,Vervaardiging van hoeden en petten
5,14.299,"Vervaardiging van overige kleding en toebehoren, n.e.g."
2,15,"Vervaardiging van leer, lederwaren en soortgelijke producten van andere materialen"
3,15.1,"Looien, bereiden en verven van leder en bont; vervaardiging van koffers, tassen, zadel- en tuigmakerswerk"
4,15.11,"Looien, bereiden en verven van leder en bont"
5,15.110,"Looien, bereiden en verven van leder en bont"
4,15.12,"Vervaardiging van koffers, tassen, zadel- en tuigmakerswerk van ongeacht welk materiaal"
5,15.120,"Vervaardiging van koffers, tassen, zadel- en tuigmakerswerk van ongeacht welk materiaal"
3,15.2,Vervaardiging van schoeisel
4,15.20,Vervaardiging van schoeisel
5,15.200,Vervaardiging van schoeisel
2,16,"Houtindustrie en vervaardiging van artikelen van hout en kurk, exclusief meubelen; vervaardiging van artikelen van riet en van vlechtwerk"
3,16.1,Zagen en schaven van hout; verwerking en afwerking van hout
4,16.11,Zagen en schaven van hout
5,16.110,Zagen en schaven van hout
4,16.12,Verwerking en afwerking van hout
5,16.120,Verwerking en afwerking van hout
3,16.2,"Vervaardiging van artikelen van hout, kurk, riet of vlechtwerk"
4,16.21,Vervaardiging van fineer en van panelen op basis van hout
5,16.210,Vervaardiging van fineer en van panelen op basis van hout
4,16.22,Vervaardiging van geassembleerde parketvloeren
5,16.220,Vervaardiging van geassembleerde parketvloeren
4,16.23,Vervaardiging van ander schrijn- en timmerwerk
5,16.230,Vervaardiging van ander schrijn- en timmerwerk
4,16.24,Vervaardiging van houten emballage
5,16.240,Vervaardiging van houten emballage
4,16.25,Vervaardiging van houten deuren en vensters
5,16.250,Vervaardiging van houten deuren en vensters
4,16.26,Vervaardiging van vaste brandstoffen uit plantaardige biomassa
5,16.260,Vervaardiging van vaste brandstoffen uit plantaardige biomassa
4,16.27,Afwerking van houten producten
5,16.270,Afwerking van houten producten
4,16.28,"Vervaardiging van andere artikelen van hout en van artikelen van kurk, riet of vlechtwerk"
5,16.281,Vervaardiging van andere artikelen van hout
5,16.282,"Vervaardiging van artikelen van kurk, riet of vlechtwerk"
2,17,Vervaardiging van papier en papierwaren
3,17.1,"Vervaardiging van papierpulp, papier en karton"
4,17.11,Vervaardiging van papierpulp
5,17.110,Vervaardiging van papierpulp
4,17.12,Vervaardiging van papier en karton
5,17.120,Vervaardiging van papier en karton
3,17.2,Vervaardiging van artikelen van papier of karton
4,17.21,"Vervaardiging van gegolfd papier, golfkarton en verpakkingsmateriaal van papier en karton"
5,17.210,"Vervaardiging van gegolfd papier, golfkarton en verpakkingsmateriaal van papier en karton"
4,17.22,Vervaardiging van huishoudelijke en sanitaire papierwaren
5,17.220,Vervaardiging van huishoudelijke en sanitaire papierwaren
4,17.23,Vervaardiging van kantoorbenodigdheden van papier
5,17.230,Vervaardiging van kantoorbenodigdheden van papier
4,17.24,Vervaardiging van behangpapier
5,17.240,Vervaardiging van behangpapier
4,17.25,Vervaardiging van andere artikelen van papier of karton
5,17.250,Vervaardiging van andere artikelen van papier of karton
2,18,Activiteiten op het gebied van drukwerk en reproductie van opgenomen media
3,18.1,Activiteiten op het gebied van drukwerk en gerelateerde dienstverlening
4,18.11,Drukken van dagbladen
5,18.110,Drukken van dagbladen
4,18.12,Overige activiteiten op het gebied van drukwerk
5,18.120,Overige activiteiten op het gebied van drukwerk
4,18.13,Prepress- en premediadiensten
5,18.130,Prepress- en premediadiensten
4,18.14,Activiteiten van binderijen en aanverwante diensten
5,18.140,Activiteiten van binderijen en aanverwante diensten
3,18.2,Reproductie van opgenomen media
4,18.20,Reproductie van opgenomen media
5,18.200,Reproductie van opgenomen media
2,19,Vervaardiging van cokes en van geraffineerde aardolieproducten
3,19.1,Vervaardiging van cokesovenproducten
4,19.10,Vervaardiging van cokesovenproducten
5,19.100,Vervaardiging van cokesovenproducten
3,19.2,Vervaardiging van geraffineerde aardolieproducten en van producten uit fossiele brandstoffen
4,19.20,Vervaardiging van geraffineerde aardolieproducten en van producten uit fossiele brandstoffen
5,19.200,Vervaardiging van geraffineerde aardolieproducten en van producten uit fossiele brandstoffen
2,20,Vervaardiging van chemische producten
3,20.1,"Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van kunststoffen en synthetische rubber in primaire vormen"
4,20.11,Vervaardiging van industriële gassen
5,20.110,Vervaardiging van industriële gassen
4,20.12,Vervaardiging van kleurstoffen en pigmenten
5,20.120,Vervaardiging van kleurstoffen en pigmenten
4,20.13,Vervaardiging van andere anorganische chemische basisproducten
5,20.130,Vervaardiging van andere anorganische chemische basisproducten
4,20.14,Vervaardiging van andere organische chemische basisproducten
5,20.140,Vervaardiging van andere organische chemische basisproducten
4,20.15,Vervaardiging van kunstmeststoffen en stikstofverbindingen
5,20.150,Vervaardiging van kunstmeststoffen en stikstofverbindingen
4,20.16,Vervaardiging van kunststoffen in primaire vormen
5,20.160,Vervaardiging van kunststoffen in primaire vormen
4,20.17,Vervaardiging van synthetische rubber in primaire vormen
5,20.170,Vervaardiging van synthetische rubber in primaire vormen
3,20.2,"Vervaardiging van verdelgingsmiddelen, ontsmettingsmiddelen en andere chemische producten voor de landbouw"
4,20.20,"Vervaardiging van verdelgingsmiddelen, ontsmettingsmiddelen en andere chemische producten voor de landbouw"
5,20.200,"Vervaardiging van verdelgingsmiddelen, ontsmettingsmiddelen en andere chemische producten voor de landbouw"
3,20.3,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek"
4,20.30,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek"
5,20.300,"Vervaardiging van verf, vernis e.d., drukinkt en mastiek"
3,20.4,"Vervaardiging van was-, poets- en reinigingsmiddelen"
4,20.41,"Vervaardiging van zeep en wasmiddelen, poets- en reinigingsmiddelen"
5,20.411,Vervaardiging van zeep en wasmiddelen
5,20.412,Vervaardiging van poets- en reinigingsmiddelen
4,20.42,Vervaardiging van parfums en toiletartikelen
5,20.420,Vervaardiging van parfums en toiletartikelen
3,20.5,Vervaardiging van andere chemische producten
4,20.51,Vervaardiging van vloeibare biobrandstoffen
5,20.510,Vervaardiging van vloeibare biobrandstoffen
4,20.59,"Vervaardiging van andere chemische producten, n.e.g."
5,20.590,"Vervaardiging van andere chemische producten, n.e.g."
3,20.6,Vervaardiging van synthetische en kunstmatige vezels
4,20.60,Vervaardiging van synthetische en kunstmatige vezels
5,20.600,Vervaardiging van synthetische en kunstmatige vezels
2,21,Vervaardiging van farmaceutische grondstoffen en producten
3,21.1,Vervaardiging van farmaceutische grondstoffen
4,21.10,Vervaardiging van farmaceutische grondstoffen
5,21.100,Vervaardiging van farmaceutische grondstoffen
3,21.2,Vervaardiging van farmaceutische producten
4,21.20,Vervaardiging van farmaceutische producten
5,21.201,Vervaardiging van geneesmiddelen
5,21.209,Vervaardiging van overige farmaceutische producten
2,22,Vervaardiging van producten van rubber of kunststof
3,22.1,Vervaardiging van producten van rubber
4,22.11,Vervaardiging en loopvlakvernieuwing van rubberbanden en vervaardiging van binnenbanden
5,22.110,Vervaardiging en loopvlakvernieuwing van rubberbanden en vervaardiging van binnenbanden
4,22.12,Vervaardiging van andere producten van rubber
5,22.120,Vervaardiging van andere producten van rubber
3,22.2,Vervaardiging van producten van kunststof
4,22.21,"Vervaardiging van platen, vellen, buizen en profielen van kunststof"
5,22.210,"Vervaardiging van platen, vellen, buizen en profielen van kunststof"
4,22.22,Vervaardiging van verpakkingsmateriaal van kunststof
5,22.220,Vervaardiging van verpakkingsmateriaal van kunststof
4,22.23,Vervaardiging van deuren en vensters van kunststof
5,22.230,Vervaardiging van deuren en vensters van kunststof
4,22.24,Vervaardiging van kunststofartikelen voor de bouw
5,22.240,Vervaardiging van kunststofartikelen voor de bouw
4,22.25,Verwerking en afwerking van kunststofproducten
5,22.250,Verwerking en afwerking van kunststofproducten
4,22.26,Vervaardiging van andere producten van kunststof
5,22.260,Vervaardiging van andere producten van kunststof
2,23,Vervaardiging van andere niet-metaalhoudende minerale producten
3,23.1,Vervaardiging van glas en glaswerk
4,23.11,Vervaardiging van vlakglas
5,23.110,Vervaardiging van vlakglas
4,23.12,Vormen en bewerken van vlakglas
5,23.120,Vormen en bewerken van vlakglas
4,23.13,Vervaardiging van holglas
5,23.130,Vervaardiging van holglas
4,23.14,Vervaardiging van glasvezels
5,23.140,Vervaardiging van glasvezels
4,23.15,"Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk"
5,23.150,"Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk"
3,23.2,Vervaardiging van vuurvaste producten
4,23.20,Vervaardiging van vuurvaste producten
5,23.200,Vervaardiging van vuurvaste producten
3,23.3,"Vervaardiging van producten voor de bouw, van klei"
4,23.31,Vervaardiging van keramische tegels en plavuizen
5,23.310,Vervaardiging van keramische tegels en plavuizen
4,23.32,"Vervaardiging van bakstenen, tegels en producten voor de bouw, van gebakken klei"
5,23.321,Vervaardiging van bakstenen
5,23.322,"Vervaardiging dakpannen, tegels en andere producten voor de bouw, van gebakken klei"
3,23.4,Vervaardiging van andere keramische producten
4,23.41,Vervaardiging van huishoudelijk en sieraardewerk
5,23.410,Vervaardiging van huishoudelijk en sieraardewerk
4,23.42,Vervaardiging van sanitair aardewerk
5,23.420,Vervaardiging van sanitair aardewerk
4,23.43,"Vervaardiging van isolatoren en isolatiemateriaal, van keramische stoffen"
5,23.430,"Vervaardiging van isolatoren en isolatiemateriaal, van keramische stoffen"
4,23.44,Vervaardiging van ander technisch aardewerk
5,23.440,Vervaardiging van ander technisch aardewerk
4,23.45,Vervaardiging van andere keramische producten
5,23.450,Vervaardiging van andere keramische producten
3,23.5,"Vervaardiging van cement, kalk en gips"
4,23.51,Vervaardiging van cement
5,23.510,Vervaardiging van cement
4,23.52,Vervaardiging van kalk en gips
5,23.520,Vervaardiging van kalk en gips
3,23.6,"Vervaardiging van artikelen van beton, cement en gips"
4,23.61,Vervaardiging van artikelen van beton voor de bouw
5,23.610,Vervaardiging van artikelen van beton voor de bouw
4,23.62,Vervaardiging van artikelen van gips voor de bouw
5,23.620,Vervaardiging van artikelen van gips voor de bouw
4,23.63,Vervaardiging van stortklare beton
5,23.630,Vervaardiging van stortklare beton
4,23.64,Vervaardiging van mortel
5,23.640,Vervaardiging van mortel
4,23.65,Vervaardiging van producten van vezelcement
5,23.650,Vervaardiging van producten van vezelcement
4,23.66,"Vervaardiging van andere artikelen van beton, cement en gips"
5,23.660,"Vervaardiging van andere artikelen van beton, cement en gips"
3,23.7,"Houwen, bewerken en afwerken van natuursteen"
4,23.70,"Houwen, bewerken en afwerken van natuursteen"
5,23.700,"Houwen, bewerken en afwerken van natuursteen"
3,23.9,Vervaardiging van andere schuurmiddelen en niet-metaalhoudende minerale producten n.e.g.
4,23.91,Vervaardiging van schuurmiddelen
5,23.910,Vervaardiging van schuurmiddelen
4,23.99,"Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g."
5,23.990,"Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g."
2,24,Vervaardiging van metalen in primaire vorm
3,24.1,Vervaardiging van ijzer en staal en van ferrolegeringen
4,24.10,Vervaardiging van ijzer en staal en van ferrolegeringen
5,24.100,Vervaardiging van ijzer en staal en van ferrolegeringen
3,24.2,"Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal"
4,24.20,"Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal"
5,24.200,"Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal"
3,24.3,Vervaardiging van andere producten van de eerste verwerking van staal
4,24.31,Koudtrekken van staven
5,24.310,Koudtrekken van staven
4,24.32,Koudwalsen van bandstaal
5,24.320,Koudwalsen van bandstaal
4,24.33,Koudvervormen of koudfelsen
5,24.330,Koudvervormen of koudfelsen
4,24.34,Koudtrekken van draad
5,24.340,Koudtrekken van draad
3,24.4,Productie van edelmetalen en van andere non-ferrometalen
4,24.41,Productie van edelmetalen
5,24.410,Productie van edelmetalen
4,24.42,Productie van aluminium
5,24.420,Productie van aluminium
4,24.43,"Productie van lood, zink en tin"
5,24.430,"Productie van lood, zink en tin"
4,24.44,Productie van koper
5,24.440,Productie van koper
4,24.45,Productie van andere non-ferrometalen
5,24.450,Productie van andere non-ferrometalen
4,24.46,Bewerking van splijt- en kweekstoffen
5,24.460,Bewerking van splijt- en kweekstoffen
3,24.5,Gieten van metalen
4,24.51,Gieten van ijzer
5,24.510,Gieten van ijzer
4,24.52,Gieten van staal
5,24.520,Gieten van staal
4,24.53,Gieten van lichte metalen
5,24.530,Gieten van lichte metalen
4,24.54,Gieten van andere non-ferrometalen
5,24.540,Gieten van andere non-ferrometalen
2,25,"Vervaardiging van producten van metaal, exclusief machines en apparatuur"
3,25.1,Vervaardiging van metalen constructiewerken
4,25.11,Vervaardiging van metalen constructiewerken en delen daarvan
5,25.110,Vervaardiging van metalen constructiewerken en delen daarvan
4,25.12,Vervaardiging van metalen deuren en vensters
5,25.120,Vervaardiging van metalen deuren en vensters
3,25.2,"Vervaardiging van tanks, reservoirs en bergingsmiddelen, van metaal"
4,25.21,"Vervaardiging van radiatoren, stoomketels en ketels voor centrale verwarming"
5,25.210,"Vervaardiging van radiatoren, stoomketels en ketels voor centrale verwarming"
4,25.22,"Vervaardiging van andere tanks, reservoirs en bergingsmiddelen, van metaal"
5,25.220,"Vervaardiging van andere tanks, reservoirs en bergingsmiddelen, van metaal"
3,25.3,Vervaardiging van wapens en munitie
4,25.30,Vervaardiging van wapens en munitie
5,25.300,Vervaardiging van wapens en munitie
3,25.4,Smeden en bewerken van metaal en poedermetallurgie
4,25.40,Smeden en bewerken van metaal en poedermetallurgie
5,25.401,Smeden van metaal
5,25.402,Bewerken van metaal en poedermetallurgie
3,25.5,Oppervlaktebehandeling van metalen; verspanend bewerken van metalen
4,25.51,Coating van metalen
5,25.510,Coating van metalen
4,25.52,Warmtebehandeling van metaal
5,25.520,Warmtebehandeling van metaal
